Æò±Õ±â¿Â,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó,Ã¼°¨¿Âµµ,Æò±ÕÀü¿î·®,½Ã±º±¸,¿äÀÏ,Diff,SUM
0.300000012,43,0.600000024,0.674978088,0.4,1,7,9.099999905,1451
0.200000003,47.09999847,0.899999976,-0.225484808,0.4,3,7,10.30000019,865
0,50.59999847,0.600000024,0.357712322,0.4,4,7,9,2035
0.800000012,31.20000076,0.800000012,0.656677293,0.4,5,7,8.500000239,1348
0.600000024,43.20000076,1.100000024,-0.197076995,0.4,6,7,9.499999761,414
1,39.29999924,0.800000012,0.872112871,0.4,7,7,7.799999952,713
0.899999976,40.20000076,1.200000048,-0.044959815,0.4,8,7,9.19999981,504
0.100000001,45.29999924,0.600000024,0.463467575,0.4,9,7,11,1126
-1.299999952,51.20000076,0,12.32375003,0.4,10,7,11.30000019,369
0.200000003,46.09999847,1.399999976,-1.148316895,0.4,11,7,9.600000382,589
1.200000048,1.5,1.200000048,0.286935268,0.4,12,7,8.100000143,505
-0.5,50.29999924,0.800000012,-0.743654056,0.4,13,7,10.69999981,705
-0.300000012,42.09999847,1.299999952,-1.545372268,0.4,14,7,9.5,953
0.899999976,41.59999847,1.200000048,-0.044959815,0.4,15,7,9.400000095,1166
0.5,42.40000153,1.399999976,-0.812956487,0.4,16,7,10.79999971,675
0,44.90000153,0.899999976,-0.442576926,0.4,17,7,9.5,907
-0.100000001,46.09999847,0.699999988,-0.047619342,0.4,18,7,11.0999999,1378
1.100000024,43.5,1,0.543670445,0.4,19,7,9,545
0.699999988,47.90000153,1.5,-0.736457205,0.4,20,7,9.000000239,1336
0.600000024,21.20000076,1,-0.002826886,0.4,21,7,9.100000143,720
-0.5,46.70000076,1,-1.205121039,0.4,22,7,9.5,1003
0.600000024,40.79999924,0.600000024,0.992243854,0.4,23,7,8.799999952,442
0.100000001,44.20000076,1.299999952,-1.100459703,0.4,24,7,9.099999904,659
2.599999905,47.40000153,0.400000006,3.792136002,8,1,1,7.800000191,935
2.799999952,47.09999847,0.800000012,2.811033131,8,3,1,8.999999881,584
3.299999952,49.29999924,1,2.948258622,8,4,1,8.900000096,1090
3.5,32.09999847,0.600000024,4.059146115,8,5,1,7.000000194,779
3,45.40000153,0.899999976,2.813804802,8,6,1,9.399999976,233
3.5,41.90000153,1.899999976,1.944282675,8,7,1,7.300000101,476
3.599999905,40.79999924,1.5,2.520605821,8,8,1,7.699999929,293
2.599999905,46.5,0.5,3.420428602,8,9,1,9.699999809,624
1.399999976,52,0,13.97749999,8,10,1,10.10000014,250
2.700000048,45.40000153,1.799999952,1.1420418,8,11,1,8.700000167,386
3.900000095,2.79999995,1.600000024,2.73447531,8,12,1,7.600000203,347
